        36998195 function calls (36797100 primitive calls) in 77.495 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      237    0.000    0.000    0.000    0.000 ops.py:5082(is_fetchable)
      252    0.000    0.000    0.000    0.000 pywrap_tensorflow_internal.py:2505(IsAttrs)
      127    0.000    0.000    0.000    0.000 generic.py:381(_get_block_manager_axis)
        9    0.000    0.000    0.004    0.000 missing.py:20(mask_missing)
      192    0.000    0.000    0.000    0.000 cast.py:1105(<genexpr>)
       78    0.000    0.000    0.000    0.000 weakref.py:428(get)
        4    0.000    0.000    0.805    0.201 tmp957xw_0q.py:5(tf__call)
       12    0.000    0.000    0.002    0.000 api.py:460(to_graph)
       14    0.000    0.000    0.009    0.001 gen_math_ops.py:5628(logical_and)
       50    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
      247    0.000    0.000    0.001    0.000 tf_utils.py:305(<genexpr>)
      535    0.000    0.000    0.000    0.000 session.py:766(graph)
      259    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      188    0.000    0.000    0.000    0.000 graph_view.py:80(_name_slot_variable)
       90    0.000    0.000    0.000    0.000 array_ops.py:450(<genexpr>)
       24    0.000    0.000    0.003    0.000 numpy_pickle_utils.py:185(_write_fileobject)
        8    0.000    0.000    0.001    0.000 gzip.py:123(__init__)
        9    0.000    0.000    0.006    0.001 blocks.py:756(replace)
      237    0.000    0.000    0.000    0.000 session.py:319(build_results)
      206    0.000    0.000    0.000    0.000 resource_variable_ops.py:816(shape)
        6    0.000    0.000    0.009    0.001 parsers.py:1120(_make_engine)
      288    0.000    0.000    0.000    0.000 concat.py:510(<genexpr>)
       97    0.000    0.000    0.000    0.000 generic.py:3149(_clear_item_cache)
        4    0.000    0.000    0.016    0.004 core.py:1031(call)
      108    0.000    0.000    0.000    0.000 generic.py:334(<dictcomp>)
        1    0.000    0.000   30.958   30.958 keras_model.py:257(fit)
      117    0.000    0.000    0.000    0.000 policy.py:120(should_cast_variables)
       52    0.000    0.000    0.000    0.000 base_layer.py:2158(iterate_inbound)
       97    0.000    0.000    0.000    0.000 concat.py:507(<listcomp>)
      195    0.000    0.000    0.000    0.000 blocks.py:255(__len__)
      238    0.000    0.000    0.000    0.000 base.py:676(dtype)
       75    0.000    0.000    0.000    0.000 tensor_util.py:595(<listcomp>)
       72    0.000    0.000    0.002    0.000 pickle.py:971(save_type)
       18    0.000    0.000   13.166    0.731 session.py:1425(_call_tf_sessionrun)
      197    0.000    0.000    0.000    0.000 base_layer.py:539(<genexpr>)
        8    0.000    0.000    0.007    0.001 generic.py:3323(_take)
      292    0.000    0.000    0.000    0.000 saveable_object.py:58(__init__)
       42    0.000    0.000    0.001    0.000 ops.py:2248(_tf_input)
       97    0.000    0.000    0.000    0.000 concat.py:434(_get_result_dim)
        1    0.000    0.000   10.453   10.453 checkpoint_management.py:663(save)
      288    0.000    0.000    0.000    0.000 concat.py:383(<genexpr>)
       13    0.000    0.000    0.014    0.001 construction.py:43(arrays_to_mgr)
        8    0.000    0.000    0.009    0.001 resource_variable_ops.py:1522(__init__)
       19    0.000    0.000    0.015    0.001 array_ops.py:3110(squeeze)
       24    0.000    0.000    0.002    0.000 compressor.py:105(compressor_file)
        9    0.000    0.000    0.002    0.000 blocks.py:927(putmask)
      110    0.000    0.000    0.000    0.000 missing.py:530(clean_reindex_fill_method)
        5    0.000    0.000    0.004    0.001 csvs.py:130(save)
      128    0.000    0.000    0.000    0.000 compressor.py:371(_check_not_closed)
        6    0.000    0.000    0.024    0.004 parsers.py:536(parser_f)
        6    0.000    0.000    0.009    0.002 parsers.py:813(__init__)
        1    0.000    0.000    0.025    0.025 functional_saver.py:176(save)
        3    0.000    0.000    0.000    0.000 math_ops.py:2815(<listcomp>)
        5    0.000    0.000    0.000    0.000 base.py:1658(is_unique)
        3    0.000    0.000    0.001    0.000 parser.py:485(parse)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      188    0.000    0.000    0.000    0.000 variable_scope.py:1094(regularizer)
      252    0.000    0.000    0.000    0.000 pywrap_tensorflow_internal.py:2475(IsCompositeTensor)
       13    0.000    0.000    0.006    0.000 managers.py:1663(create_block_manager_from_arrays)
       96    0.000    0.000    0.000    0.000 api.py:226(<setcomp>)
   125/79    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      662    0.000    0.000    0.000    0.000 base.py:562(_checkpoint_dependencies)
       14    0.000    0.000    0.014    0.001 resource_variable_ops.py:1568(_read_variable_op)
        7    0.000    0.000    0.005    0.001 series.py:271(_init_dict)
      217    0.000    0.000    0.000    0.000 common.py:1542(<lambda>)
       97    0.000    0.000    0.000    0.000 common.py:162(_not_none)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        3    0.000    0.000    0.004    0.001 normalization.py:138(__init__)
        1    0.000    0.000    0.000    0.000 optimizer.py:517(<listcomp>)
      292    0.000    0.000    0.000    0.000 saveable_object.py:50(tensor)
       60    0.000    0.000    0.034    0.001 control_flow_ops.py:1724(AddOp)
      160    0.000    0.000    0.000    0.000 ops.py:5631(_GetGlobalDefaultGraph)
       10    0.000    0.000    0.000    0.000 mol_graphs.py:311(<listcomp>)
       97    0.000    0.000    0.000    0.000 base.py:4012(<setcomp>)
      192    0.000    0.000    0.000    0.000 common.py:183(_any_not_none)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
       12    0.000    0.000    0.000    0.000 api.py:133(decorator)
       44    0.000    0.000    0.034    0.001 random_ops.py:38(_ShapeTensor)
      120    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsSequenceOrComposite}
       11    0.000    0.000    0.001    0.000 common.py:179(get_filepath_or_buffer)
       28    0.000    0.000    0.001    0.000 blocks.py:749(copy)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        6    0.000    0.000    0.013    0.002 resource_variable_ops.py:1062(assign_sub)
        5    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        3    0.000    0.000    0.021    0.007 nn_impl.py:983(moments)
       18    0.000    0.000   24.478    1.360 session.py:1337(_run_fn)
        9    0.000    0.000    0.002    0.000 generic.py:4469(_reindex_with_indexers)
       40    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
        2    0.000    0.000    0.102    0.051 _system_commands.py:254(_poll_process)
        3    0.000    0.000    0.001    0.000 session.py:657(send)
      428    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    3.431    3.431 keras_model.py:167(_create_inputs)
       12    0.000    0.000    0.000    0.000 conversion.py:108(has)
       63    0.000    0.000    0.000    0.000 math_ops.py:1314(<listcomp>)
       12    0.000    0.000    0.000    0.000 gzip.py:438(read)
       40    0.000    0.000    0.000    0.000 pickle.py:1239(load_tuple)
       80    0.000    0.000    0.000    0.000 pickle.py:1525(load_mark)
       25    0.000    0.000    0.000    0.000 base_layer_utils.py:174(have_all_keras_metadata)
      190    0.000    0.000    0.000    0.000 session.py:1332(<genexpr>)
       27    0.000    0.000    0.000    0.000 base.py:3918(__contains__)
       24    0.000    0.000    0.007    0.000 pickle.py:814(save_dict)
       66    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        8    0.000    0.000    0.009    0.001 array_ops.py:2055(ones)
        2    0.000    0.000    0.000    0.000 __init__.py:484(cast)
       40    0.000    0.000    0.000    0.000 pickle.py:988(__init__)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        3    0.000    0.000    0.007    0.002 generic.py:6439(replace)
      143    0.000    0.000    0.001    0.000 graph_view.py:61(_object_prefix_from_path)
       96    0.000    0.000    0.000    0.000 data_structures.py:308(_name_element)
        6    0.000    0.000    0.005    0.001 gen_nn_ops.py:10421(relu)
       60    0.000    0.000    0.049    0.001 array_ops.py:387(size)
       10    0.000    0.000    0.000    0.000 mol_graphs.py:273(<listcomp>)
      225    0.000    0.000    0.000    0.000 base.py:3632(_values)
      291    0.000    0.000    0.000    0.000 common.py:164(<genexpr>)
       14    0.000    0.000    0.000    0.000 range.py:272(_shallow_copy)
        7    0.000    0.000    0.001    0.000 generic.py:11018(logical_func)
        5    0.000    0.000    0.001    0.000 tempfile.py:486(mkdtemp)
       64    0.000    0.000    0.000    0.000 threading.py:74(RLock)
       12    0.000    0.000    1.836    0.153 api.py:136(wrapper)
       12    0.000    0.000    0.000    0.000 tf_decorator.py:67(make_decorator)
       32    0.000    0.000    0.007    0.000 save.py:22(log)
      708    0.000    0.000    0.000    0.000 pickle.py:523(persistent_id)
        1    0.000    0.000    0.000    0.000 random.py:285(sample)
        1    0.000    0.000   77.688   77.688 {built-in method builtins.exec}
       10    0.000    0.000    0.001    0.000 keras_model.py:839(<listcomp>)
       38    0.000    0.000    0.000    0.000 apipkg.py:133(__makeattr)
       28    0.000    0.000    0.001    0.000 base_layer.py:1530(_init_set_name)
        1    0.000    0.000    0.044    0.044 util.py:1011(_gather_saveables)
      111    0.000    0.000    0.000    0.000 object_identity.py:127(add)
        5    0.000    0.000    2.043    0.409 datasets.py:960(generator)
        4    0.000    0.000    0.000    0.000 {pandas._libs.lib.to_object_array}
     24/6    0.000    0.000    0.001    0.000 jsonutil.py:62(extract_dates)
      172    0.000    0.000    0.000    0.000 base_layer.py:1794(<lambda>)
       12    0.000    0.000    0.149    0.012 smart_cond.py:27(smart_cond)
       11    0.000    0.000    0.010    0.001 math_ops.py:1137(floordiv)
       50    0.000    0.000    0.000    0.000 ops.py:5245(_enable_auto_casting_variables)
      107    0.000    0.000    0.000    0.000 base.py:3806(_coerce_to_ndarray)
        7    0.000    0.000    0.001    0.000 nanops.py:203(_get_values)
       16    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
     28/1    0.000    0.000    0.001    0.001 base_layer.py:775(losses)
       12    0.000    0.000    0.000    0.000 backend.py:810(unique_object_name)
       20    0.000    0.000    0.054    0.003 variables.py:1043(_run_op)
        6    0.000    0.000    0.004    0.001 gen_math_ops.py:8470(rsqrt)
        2    0.000    0.000    0.001    0.000 op_def_library.py:740(<listcomp>)
      260    0.000    0.000    0.000    0.000 ops.py:1707(indices)
       73    0.000    0.000    0.001    0.000 iostream.py:297(_schedule_flush)
       89    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 optimizer.py:882(_assert_valid_dtypes)
       44    0.000    0.000    0.000    0.000 init_ops.py:1423(_compute_fans)
       16    0.000    0.000    0.028    0.002 input_layer.py:158(Input)
       12    0.000    0.000    0.000    0.000 conversion.py:87(get_factory)
       75    0.000    0.000    0.000    0.000 ops.py:5070(prevent_feeding)
       20    0.000    0.000    0.001    0.000 frame.py:3342(_box_item_values)
      107    0.000    0.000    0.000    0.000 common.py:175(_all_none)
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
       16    0.000    0.000    0.018    0.001 backend.py:961(placeholder)
        1    0.000    0.000    4.161    4.161 util.py:1061(save)
       14    0.000    0.000    0.001    0.000 function_utils.py:39(fn_args)
       48    0.000    0.000    0.000    0.000 tf_inspect.py:364(isfunction)
       58    0.000    0.000    0.042    0.001 array_ops.py:455(rank)
       33    0.000    0.000    0.000    0.000 ops.py:6556(__init__)
       55    0.000    0.000    0.000    0.000 ops.py:1717(name)
       10    0.000    0.000    0.000    0.000 range.py:520(__getitem__)
      194    0.000    0.000    0.001    0.000 concat.py:93(<genexpr>)
        7    0.000    0.000    0.000    0.000 base.py:786(array)
        1    0.000    0.000    0.713    0.713 _system_commands.py:208(_monitor_process)
       40    0.000    0.000    0.000    0.000 pickle.py:1066(load_proto)
       50    0.000    0.000    0.000    0.000 warnings.py:428(__init__)
        8    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.013    0.007 tmp1sb8kmnn.py:5(tf__call)
        8    0.000    0.000    1.544    0.193 control_flow.py:61(for_stmt)
       20    0.000    0.000    0.000    0.000 numpy_pickle_utils.py:206(_read_bytes)
      480    0.000    0.000    0.000    0.000 blocks.py:721(_try_coerce_result)
      194    0.000    0.000    0.000    0.000 concat.py:97(<genexpr>)
      239    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
       80    0.000    0.000    0.000    0.000 pickle.py:1117(load_binint)
       12    0.000    0.000    0.001    0.000 conversion.py:290(convert)
        4    0.000    0.000    0.003    0.001 gen_nn_ops.py:712(bias_add)
      252    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsNamedtuple}
      120    0.000    0.000    0.000    0.000 pywrap_tensorflow_internal.py:2461(IsSequenceOrComposite)
       10    0.000    0.000    0.002    0.000 mol_graphs.py:279(<listcomp>)
        6    0.000    0.000    0.001    0.000 managers.py:1810(_multi_blockify)
        3    0.000    0.000    0.000    0.000 type_check.py:370(nan_to_num)
      285    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.025    0.008 math_grad.py:292(_GatherDropNegatives)
       18    0.000    0.000    0.000    0.000 session.py:495(<listcomp>)
      376    0.000    0.000    0.000    0.000 variable_scope.py:1102(partitioner)
        1    0.000    0.000    0.001    0.001 pool.py:153(__init__)
       12    0.000    0.000    0.000    0.000 gzip.py:405(_read_gzip_header)
       10    0.000    0.000    0.001    0.000 base.py:1050(_format_native_types)
       80    0.000    0.000    0.000    0.000 pickle.py:1055(pop_mark)
       15    0.000    0.000    0.000    0.000 threading.py:215(__init__)
       12    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
       60    0.000    0.000    0.000    0.000 tensor_shape.py:199(__eq__)
        7    0.000    0.000    0.000    0.000 parsers.py:1502(_maybe_dedup_names)
       70    0.000    0.000    0.000    0.000 series.py:490(get_values)
      129    0.000    0.000    0.000    0.000 managers.py:376(<dictcomp>)
       96    0.000    0.000    0.000    0.000 base.py:2590(_assert_can_do_setop)
      192    0.000    0.000    0.000    0.000 cast.py:1107(<genexpr>)
      244    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       25    0.000    0.000    0.000    0.000 base_layer_utils.py:421(autocast_context_manager)
       25    0.000    0.000    0.000    0.000 base_layer.py:1711(_inputs_from_call_args)
        1    0.000    0.000    0.001    0.001 gen_state_ops.py:1573(variable_v2)
        5    0.000    0.000    0.032    0.006 parsers.py:1166(get_chunk)
        8    0.000    0.000    0.000    0.000 gzip.py:247(write)
      194    0.000    0.000    0.000    0.000 managers.py:706(nblocks)
        4    0.000    0.000    0.000    0.000 blocks.py:1290(where)
       19    0.000    0.000    0.000    0.000 numeric.py:2035(isscalar)
      172    0.000    0.000    0.000    0.000 base_layer_utils.py:168(_collect_previous_mask)
       60    0.000    0.000    0.002    0.000 data_structures.py:186(layers)
       24    0.000    0.000    0.000    0.000 control_flow_ops.py:1381(__init__)
       11    0.000    0.000    0.000    0.000 common.py:76(_is_url)
       19    0.000    0.000    0.001    0.000 generic.py:5250(values)
       10    0.000    0.000    0.002    0.000 data_structures.py:390(__init__)
        3    0.000    0.000    0.229    0.076 gradients_util.py:1079(_AggregateIndexedSlicesGradients)
      237    0.000    0.000    0.000    0.000 session.py:130(<lambda>)
      188    0.000    0.000    0.000    0.000 variable_scope.py:1086(dtype)
      188    0.000    0.000    0.000    0.000 variable_scope.py:1106(custom_getter)
        8    0.000    0.000    0.009    0.001 resource_variable_ops.py:1113(_lazy_read)
        4    0.000    0.000    0.002    0.000 generic.py:8432(_align_frame)
        4    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_object_object}
       99    0.000    0.000    0.001    0.000 inference.py:304(is_array_like)
        3    0.000    0.000    0.000    0.000 ufunclike.py:114(isposinf)
      252    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsCompositeTensor}
       18    0.000    0.000    0.000    0.000 ops.py:3259(version)
        9    0.000    0.000    0.004    0.000 managers.py:1198(reindex_indexer)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
       12    0.000    0.000    0.001    0.000 _compression.py:66(readinto)
        4    0.000    0.000    0.004    0.001 gradients_util.py:911(_MultiDeviceAddN)
       40    0.000    0.000    0.001    0.000 compressor.py:113(decompressor_file)
       96    0.000    0.000    0.000    0.000 blocks.py:327(<listcomp>)
       70    0.000    0.000    0.000    0.000 blocks.py:184(to_dense)
       40    0.000    0.000    0.000    0.000 {method '__setstate__' of 'numpy.dtype' objects}
      106    0.000    0.000    0.000    0.000 re.py:231(compile)
       25    0.000    0.000    0.303    0.012 array_grad.py:222(_ConcatGradV2)
       48    0.000    0.000    0.000    0.000 control_flow_util.py:178(GetContainingWhileContext)
       14    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_datetime_array}
        6    0.000    0.000    0.104    0.017 base_layer.py:1014(add_update)
      172    0.000    0.000    0.000    0.000 session_ops.py:271(_get_handle_mover)
       70    0.000    0.000    0.000    0.000 <string>:16(_make)
       54    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       24    0.000    0.000    0.000    0.000 normalization.py:669(_broadcast)
       50    0.000    0.000    0.002    0.000 tf_utils.py:304(are_all_symbolic_tensors)
       25    0.000    0.000    0.000    0.000 base_layer_utils.py:258(needs_keras_history)
        4    0.000    0.000    0.008    0.002 nn_ops.py:2627(bias_add)
      230    0.000    0.000    0.000    0.000 session.py:383(<listcomp>)
        6    0.000    0.000    0.004    0.001 gen_array_ops.py:11930(zeros_like)
      126    0.000    0.000    0.000    0.000 pywrap_tensorflow_internal.py:1371(<lambda>)
       83    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      141    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 network.py:426(_track_layers)
      192    0.000    0.000    0.000    0.000 base_layer.py:697(name)
       33    0.000    0.000    0.000    0.000 backend.py:711(name_scope)
       44    0.000    0.000    0.000    0.000 init_ops.py:1450(_assert_float_dtype)
       24    0.000    0.000    0.007    0.000 control_flow_ops.py:1784(_ProcessOutputTensor)
        1    0.000    0.000    0.000    0.000 context.py:752(_compute_gpu_options)
       21    0.000    0.000    0.000    0.000 parsers.py:1180(_is_potential_multi_index)
       96    0.000    0.000    0.000    0.000 series.py:591(__len__)
        3    0.000    0.000    0.002    0.001 session.py:881(deserialize)
        2    0.000    0.000    0.002    0.001 core.py:968(__init__)
      155    0.000    0.000    0.000    0.000 base_layer.py:693(dtype)
       16    0.000    0.000    0.000    0.000 backend.py:180(get_uid)
      144    0.000    0.000    0.000    0.000 object_identity.py:87(__iter__)
       26    0.000    0.000    0.114    0.004 control_flow.py:526(_py_if_stmt)
       94    0.000    0.000    0.000    0.000 resource_variable_ops.py:869(constraint)
       23    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.SetRequestedDevice}
       10    0.000    0.000    0.000    0.000 mol_graphs.py:335(<listcomp>)
       40    0.000    0.000    0.000    0.000 compressor.py:359(readable)
        4    0.000    0.000    0.001    0.000 construction.py:429(_list_to_arrays)
        3    0.000    0.000    0.001    0.000 _message.py:116(send_request)
       16    0.000    0.000    0.000    0.000 decoder.py:334(decode)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
       60    0.000    0.000    0.000    0.000 control_flow_ops.py:1770(<listcomp>)
       18    0.000    0.000    0.018    0.001 array_ops.py:2101(placeholder)
       44    0.000    0.000    0.000    0.000 dtypes.py:156(is_quantized)
        4    0.000    0.000    0.028    0.007 datasets.py:537(__init__)
       12    0.000    0.000    0.002    0.000 managers.py:710(copy)
      100    0.000    0.000    0.000    0.000 indexing.py:2689(is_list_like_indexer)
       27    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
       40    0.000    0.000    0.000    0.000 pickle.py:1256(load_tuple3)
        2    0.000    0.000    0.000    0.000 {built-in method termios.tcgetattr}
       24    0.000    0.000    0.000    0.000 re.py:324(_subx)
       86    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000   33.398   33.398 <ipython-input-80-0dd40754b66d>:98(train_ensemble)
       25    0.000    0.000    0.000    0.000 base_layer_utils.py:441(is_subclassed)
        4    0.000    0.000    0.004    0.001 gen_math_ops.py:426(add_n)
        4    0.000    0.000    0.006    0.002 datasets.py:600(_construct_metadata)
       72    0.000    0.000    0.000    0.000 integer.py:80(construct_from_string)
       83    0.000    0.000    0.000    0.000 _cv2.py:70(find_module)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.pointer}
       40    0.000    0.000    0.000    0.000 random.py:255(choice)
      236    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       15    0.000    0.000    0.000    0.000 normalization.py:259(_param_dtype)
      197    0.000    0.000    0.000    0.000 base_layer_utils.py:175(<genexpr>)
        6    0.000    0.000    0.005    0.001 array_ops.py:1951(zeros_like_impl)
      126    0.000    0.000    0.000    0.000 pywrap_tensorflow_internal.py:2492(IsMapping)
       15    0.000    0.000    0.000    0.000 parsers.py:347(_validate_integer)
       30    0.000    0.000    0.000    0.000 common.py:94(_expand_user)
      290    0.000    0.000    0.000    0.000 numerictypes.py:655(<listcomp>)
       63    0.000    0.000    0.000    0.000 configurable.py:381(instance)
        3    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
       97    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       92    0.000    0.000    0.000    0.000 network.py:874(<genexpr>)
      172    0.000    0.000    0.000    0.000 base_layer.py:1796(<lambda>)
      110    0.000    0.000    0.000    0.000 constraints.py:198(get)
       25    0.000    0.000    0.001    0.000 base_layer_utils.py:158(collect_previous_mask)
        2    0.000    0.000    0.000    0.000 util.py:1255(saver_with_op_caching)
        8    0.000    0.000    0.004    0.000 math_ops.py:2830(add_n)
       24    0.000    0.000    0.000    0.000 constant_op.py:294(is_constant)
        1    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.CreateWritableFile}
       20    0.000    0.000    0.001    0.000 frame.py:3349(_box_col_values)
      115    0.000    0.000    0.000    0.000 threading.py:506(is_set)
       12    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
       63    0.000    0.000    0.000    0.000 gradients_util.py:874(_HandleNestedIndexedSlices)
        3    0.000    0.000    0.214    0.071 math_ops.py:2813(<listcomp>)
       10    0.000    0.000    0.006    0.001 mol_graphs.py:306(<listcomp>)
        4    0.000    0.000    0.001    0.000 blocks.py:352(apply)
        8    0.000    0.000    0.000    0.000 base.py:643(_engine)
       12    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
       61    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        6    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
       24    0.000    0.000    0.000    0.000 control_flow_ops.py:1471(Enter)
        4    0.000    0.000    0.000    0.000 threading.py:757(__init__)
       31    0.000    0.000    0.005    0.000 base_layer_utils.py:307(is_in_eager_or_tf_function)
       11    0.000    0.000    0.028    0.003 math_grad.py:34(_safe_shape_div)
        4    0.000    0.000    0.003    0.001 gen_math_ops.py:6591(neg)
      100    0.000    0.000    0.000    0.000 gzip.py:80(read)
        4    0.000    0.000    0.000    0.000 gzip.py:221(_write_gzip_header)
       48    0.000    0.000    0.000    0.000 managers.py:1844(_asarray_compat)
       20    0.000    0.000    0.000    0.000 generic.py:3070(_set_as_cached)
        8    0.000    0.000    0.001    0.000 base.py:784(take)
       14    0.000    0.000    0.000    0.000 base.py:1736(is_all_dates)
       43    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
     12/6    0.000    0.000    0.101    0.017 base_layer.py:1056(process_update)
       26    0.000    0.000    0.114    0.004 control_flow.py:414(if_stmt)
        1    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.FileExists}
       50    0.000    0.000    0.000    0.000 ops.py:5240(_auto_cast_variable_read_dtype)
       27    0.000    0.000    0.000    0.000 numeric.py:3054(__init__)
        5    0.000    0.000    0.000    0.000 tempfile.py:296(__next__)
       63    0.000    0.000    0.000    0.000 configurable.py:426(initialized)
       16    0.000    0.000    0.000    0.000 __init__.py:302(loads)
       79    0.000    0.000    0.000    0.000 network.py:879(<lambda>)
       27    0.000    0.000    0.001    0.000 base_layer.py:725(trainable_weights)
        2    0.000    0.000    0.011    0.005 optimizer.py:810(_create_non_slot_variable)
       24    0.000    0.000    0.000    0.000 control_flow_ops.py:1477(Exit)
       96    0.000    0.000    0.000    0.000 managers.py:2058(<listcomp>)
        7    0.000    0.000    0.007    0.001 indexing.py:1855(_getitem_axis)
       40    0.000    0.000    0.000    0.000 pickle.py:222(__init__)
        6    0.000    0.000    0.001    0.000 threading.py:263(wait)
       10    0.000    0.000    0.000    0.000 sre_parse.py:963(expand_template)
       83    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.037    0.019 core.py:998(build)
       12    0.000    0.000    0.000    0.000 generic_utils.py:568(to_snake_case)
        2    0.000    0.000    0.002    0.001 gen_math_ops.py:7005(prod)
       23    0.000    0.000    0.021    0.001 array_ops.py:361(shape_n)
       62    0.000    0.000    0.000    0.000 ops.py:1737(graph)
       23    0.000    0.000    0.001    0.000 common.py:702(is_datetimelike)
       14    0.000    0.000    0.001    0.000 base_layer.py:2048(_call_fn_args)
        2    0.000    0.000    0.000    0.000 functional_saver.py:41(__init__)
       21    0.000    0.000    0.020    0.001 math_ops.py:306(divide)
        4    0.000    0.000    0.003    0.001 gen_math_ops.py:9152(select)
      119    0.000    0.000    0.000    0.000 blocks.py:161(external_values)
       24    0.000    0.000    0.000    0.000 base.py:700(view)
        5    0.000    0.000    0.000    0.000 csvs.py:191(_save_header)
        1    0.000    0.000    0.000    0.000 optimizers.py:71(_create_optimizer)
        1    0.000    0.000    0.014    0.014 adam.py:225(_finish)
      128    0.000    0.000    0.000    0.000 policy.py:106(default_variable_dtype)
       18    0.000    0.000   24.479    1.360 session.py:1354(_do_call)
        1    0.000    0.000    0.000    0.000 file_io.py:265(file_exists_v2)
        1    0.000    0.000    0.000    0.000 pywrap_tensorflow_internal.py:2063(TF_NewSessionOptions)
       12    0.000    0.000    0.000    0.000 gzip.py:302(close)
       99    0.000    0.000    0.000    0.000 blocks.py:132(_is_single_block)
        4    0.000    0.000    0.006    0.002 generic.py:8815(where)
       27    0.000    0.000    0.001    0.000 base_layer.py:733(non_trainable_weights)
        8    0.000    0.000    0.000    0.000 gzip.py:389(_read_exact)
       16    0.000    0.000    0.000    0.000 common.py:260(_infer_compression)
       40    0.000    0.000    0.000    0.000 base.py:2650(get_loc)
        9    0.000    0.000    0.002    0.000 cast.py:416(infer_dtype_from_array)
      120    0.000    0.000    0.000    0.000 pickle.py:1094(load_none)
       30    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
      324    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      172    0.000    0.000    0.000    0.000 base_layer.py:1798(<lambda>)
        1    0.000    0.000    0.000    0.000 optimizer.py:405(<listcomp>)
        4    0.000    0.000    0.009    0.002 math_grad.py:1017(_SubGrad)
      172    0.000    0.000    0.000    0.000 session.py:131(<lambda>)
      188    0.000    0.000    0.000    0.000 variable_scope.py:1078(reuse)
        2    0.000    0.000    0.001    0.001 gen_nn_ops.py:798(bias_add_grad)
        4    0.000    0.000    0.000    0.000 series.py:3831(fillna)
